PlayerName,Age,Team,Bats,Games,PlateAppearances,Doubles,Triples,IntWalks,SacBunts,SacFlies,HitByPitch,StolenBases,CaughtStealing
Brad Gulden,30,SFG,L,17,24,0,0,2,0,0,0,0,0
Bill Gullickson,27,CIN,R,37,91,0,0,0,9,0,0,0,0
Dave Gumpert,28,CHC,R,38,5,0,0,0,0,0,0,0,0
Jackie Gutierrez,26,BAL,R,61,152,3,0,0,2,1,1,3,1
Tony Gwynn,26,SDP,L,160,701,33,7,11,2,2,3,37,9
Jerry Hairston,34,CHW,S,101,253,15,0,3,0,1,1,0,0
Albert Hall,28,ATL,S,16,57,2,0,0,2,0,0,8,3
Drew Hall,23,CHC,L,5,8,0,0,0,0,0,0,0,0
Mel Hall,25,CLE,L,140,480,29,2,8,0,3,2,6,2
Jeff Hamilton,22,LAD,R,71,151,5,0,1,0,2,0,0,0
Brian Harper,26,DET,R,19,41,1,0,0,1,1,0,0,0
Terry Harper,30,ATL,R,106,298,12,0,2,1,2,1,3,6
Toby Harrah,37,TEX,R,95,341,18,2,0,3,3,2,2,5
Ron Hassey,33,TOT,L,113,393,25,1,3,1,2,3,1,1
Billy Hatcher,25,HOU,R,127,453,15,4,1,6,1,5,38,14
Mickey Hatcher,31,MIN,R,115,340,13,3,2,0,4,0,2,1
Andy Hawkins,26,SDP,R,37,74,1,0,0,6,0,0,0,0
Von Hayes,27,PHI,L,158,690,46,2,9,1,4,1,24,12
Ray Hayward,25,SDP,L,4,4,0,0,0,0,0,0,0,0
Ed Hearn,25,NYM,R,49,151,5,0,0,2,1,0,0,1
Jeff Hearron,24,TOR,R,12,26,1,0,0,0,0,0,0,0
Mike Heath,31,TOT,R,95,319,11,1,4,1,2,1,6,4
Danny Heep,28,NYM,L,86,227,8,2,5,0,1,1,1,4
Dave Henderson,27,TOT,R,139,432,22,4,4,2,1,2,2,3
Rickey Henderson,27,NYY,R,153,701,31,5,2,0,2,2,87,18
Steve Henderson,33,OAK,R,11,27,1,0,0,0,1,0,0,0
George Hendrick,36,CAL,R,102,317,13,1,5,4,3,1,1,1
Dave Hengel,24,SEA,R,21,66,1,0,0,1,0,1,0,0
Tom Henke,28,TOR,R,2,0,0,0,0,0,0,0,0,0
Chuck Hensley,27,SFG,L,11,0,0,0,0,0,0,0,0,0
Keith Hernandez,32,NYM,L,149,652,34,1,9,0,3,4,2,1
Leo Hernandez,26,NYY,R,7,23,2,0,0,0,0,0,0,0
Manny Hernandez,25,HOU,R,9,7,0,0,0,1,0,0,0,0
Willie Hernandez,31,DET,L,1,0,0,0,0,0,0,0,0,0
Larry Herndon,32,DET,R,106,316,13,1,2,0,5,1,2,1
Tom Herr,30,STL,S,152,647,30,4,10,6,4,5,22,8
Orel Hershiser,27,LAD,R,37,82,3,0,0,10,0,0,0,1
Joe Hesketh,27,MON,L,15,28,0,0,0,3,0,0,0,0
Donnie Hill,25,OAK,S,108,366,16,2,1,4,0,0,5,2
Marc Hill,34,CHW,R,22,21,0,0,0,0,0,1,0,0
Glenn Hoffman,27,BOS,R,12,26,2,0,0,0,1,0,0,0
Guy Hoffman,29,CHC,L,33,20,0,0,0,3,0,0,0,0
Brian Holton,26,LAD,R,12,5,0,0,0,0,0,0,0,0
Rick Honeycutt,32,LAD,L,32,57,1,0,0,6,0,0,0,0
Bob Horner,28,ATL,R,141,581,22,0,8,0,10,2,1,4
Ricky Horton,26,STL,L,42,25,0,0,0,2,0,0,0,0
Paul Householder,27,MIL,S,26,90,3,1,0,2,2,1,1,2
Jack Howell,24,CAL,L,63,175,14,2,0,3,2,0,2,0
Jay Howell,30,OAK,R,2,0,0,0,0,0,0,0,0,0
Ken Howell,25,LAD,R,62,5,0,0,0,0,0,0,0,0
LaMarr Hoyt,31,SDP,R,35,50,1,0,0,3,0,0,0,0
Kent Hrbek,26,MIN,L,149,634,27,1,9,0,7,6,2,2
Glenn Hubbard,28,ATL,R,143,488,16,1,14,6,4,4,3,2
Rex Hudler,25,BAL,R,14,1,0,0,0,0,0,0,1,0
Charles Hudson,27,PHI,S,36,51,0,0,0,7,0,0,0,0
Tim Hulett,26,CHW,R,150,552,16,5,0,6,4,1,4,1
Tom Hume,33,PHI,R,48,16,0,0,0,5,0,0,0,0
Randy Hunt,26,MON,R,21,54,0,0,2,0,0,0,0,0
Clint Hurdle,28,STL,L,78,184,5,1,0,1,2,1,0,0
Pete Incaviglia,22,TEX,R,153,606,21,2,2,0,7,4,3,2
Dane Iorg,36,SDP,L,90,109,2,1,0,0,1,0,0,0
Garth Iorg,31,TOR,R,137,351,19,1,0,1,2,1,3,0
Bo Jackson,23,KCR,R,25,91,2,1,0,0,0,2,3,1
Michael Jackson,21,PHI,R,9,0,0,0,0,0,0,0,0,0
Reggie Jackson,40,CAL,L,132,517,12,2,11,0,3,3,1,1
Roy Lee Jackson,32,MIN,R,1,0,0,0,0,0,0,0,0,0
Brook Jacoby,26,CLE,R,158,641,30,4,5,1,1,0,2,1
Bob James,27,CHW,R,2,0,0,0,0,0,0,0,0,0
Chris James,23,PHI,R,16,48,3,0,0,1,0,0,0,0
Stan Javier,22,OAK,S,59,131,8,0,0,0,0,1,8,0
Stan Jefferson,23,NYM,S,14,27,1,0,0,0,0,1,0,0
Steve Jeltz,27,PHI,S,145,510,11,4,9,3,2,1,6,3
Cliff Johnson,38,TOR,R,107,394,12,1,1,0,2,4,0,1
Howard Johnson,25,NYM,S,88,253,14,0,8,1,0,1,8,1
Joe Johnson,24,TOT,R,17,30,0,0,0,2,1,0,0,0
Rondin Johnson,27,KCR,S,11,31,0,1,0,0,0,0,0,0
Wallace Johnson,29,MON,S,61,134,3,1,0,0,0,0,6,3
Barry Jones,23,PIT,R,26,6,0,0,0,1,0,0,0,0
Bob Jones,36,TEX,L,13,23,0,0,0,0,0,0,0,0
Chris Jones,28,SFG,L,3,1,0,0,0,0,0,0,1,0
Jimmy Jones,22,SDP,R,3,6,0,0,0,0,0,0,0,0
Lynn Jones,33,KCR,R,67,54,2,0,0,1,0,0,0,0
Ricky Jones,28,BAL,R,16,39,2,0,0,0,0,0,0,0
Ross Jones,26,SEA,R,11,21,0,0,0,0,0,0,0,1
Ruppert Jones,31,CAL,L,126,471,21,3,5,7,3,3,10,3
Tracy Jones,25,CIN,R,46,96,3,0,1,0,1,0,7,1
Wally Joyner,24,CAL,L,154,674,27,3,8,10,12,2,5,2
Ron Karkovice,22,CHW,R,37,109,7,0,0,1,1,1,1,0
Bob Kearney,29,SEA,R,81,226,10,0,1,9,1,0,0,2
Steve Kemp,31,PIT,L,13,20,0,0,0,0,0,0,1,0
Terry Kennedy,30,SDP,L,141,476,22,1,7,4,1,2,0,3
Matt Keough,30,TOT,R,29,16,1,0,0,0,0,0,1,0
Kurt Kepshire,26,STL,L,2,2,0,0,0,1,0,0,0,0
Charlie Kerfeld,22,HOU,R,61,10,0,0,0,0,0,0,0,0
Sam Khalifa,22,PIT,R,64,173,6,0,6,3,0,0,0,2
Steve Kiefer,25,MIL,R,2,6,0,0,0,0,0,0,0,0
Mike Kingery,25,KCR,L,62,223,8,5,2,0,2,0,7,3
Dave Kingman,37,OAK,R,144,604,19,0,3,0,7,3,3,3
Bob Kipper,21,PIT,R,21,37,0,0,0,3,0,0,0,0
Ron Kittle,28,TOT,R,116,422,13,0,1,0,8,3,4,1
Bob Knepper,32,HOU,L,42,95,2,1,0,4,0,0,0,0
Alan Knicely,31,STL,R,34,100,3,0,0,0,1,0,1,1
Ray Knight,33,NYM,R,137,541,24,2,2,3,8,4,2,1
Mark Knudson,25,TOT,R,9,14,0,0,0,3,0,0,0,0
Brad Komminsk,25,ATL,R,5,5,0,0,0,0,0,0,0,1
Ray Krawczyk,26,PIT,R,12,0,0,0,0,0,0,0,0,0
Wayne Krenchicki,31,MON,L,101,247,6,2,3,2,2,0,2,4
John Kruk,25,SDP,L,122,327,16,2,0,2,2,0,2,4
Mike Krukow,34,SFG,R,35,98,1,0,0,12,0,0,1,0
Jeff Kunkel,24,TEX,R,8,13,0,0,0,0,0,0,0,0
Randy Kutcher,26,SFG,R,71,203,9,1,0,6,0,0,6,5
Mike LaCoss,30,SFG,R,37,69,2,0,0,5,0,0,0,0
Lee Lacy,38,BAL,R,130,537,18,0,2,4,5,0,4,6
Pete Ladd,29,SEA,R,1,0,0,0,0,0,0,0,0,0
Mike Laga,26,TOT,L,33,102,5,0,2,0,0,1,0,0
Jeff Lahti,29,STL,R,4,0,0,0,0,0,0,0,0,0
Steve Lake,29,TOT,R,36,72,2,0,1,1,0,0,0,0
Rick Lancellotti,29,SFG,L,15,18,0,0,0,0,0,0,0,0
Ken Landreaux,31,LAD,L,103,310,13,2,3,0,4,1,10,5
Bill Landrum,28,CIN,R,10,2,0,0,0,0,0,0,0,0
Tito Landrum,31,STL,R,96,230,7,1,2,1,3,1,3,1
Rick Langford,34,OAK,R,1,0,0,0,0,0,0,0,0,0
Carney Lansford,29,OAK,R,151,640,16,4,2,1,4,5,16,7
Dave LaPoint,26,TOT,L,24,12,0,0,0,4,0,0,0,0
Barry Larkin,22,CIN,R,41,169,4,3,1,0,1,0,8,0
Bill Laskey,28,SFG,R,20,1,0,0,0,0,0,0,0,0
Tim Laudner,28,MIN,R,76,223,10,0,0,1,2,3,1,0
Mike LaValliere,25,STL,L,110,350,10,2,5,10,0,1,0,1
Rudy Law,29,KCR,L,87,341,26,5,0,2,1,2,14,6
Vance Law,29,MON,R,112,402,17,2,1,2,2,1,3,5
Tom Lawless,29,STL,R,46,45,1,0,0,2,1,0,8,1
Rick Leach,29,TOR,L,110,266,14,1,3,0,7,0,0,0
Terry Leach,32,NYM,R,6,0,0,0,0,0,0,0,0,0
Manuel Lee,21,TOR,S,35,85,0,1,0,2,1,0,0,1
Joe Lefebvre,30,PHI,L,14,21,0,0,0,0,0,0,0,0
Craig Lefferts,28,SDP,L,84,9,0,0,0,1,0,0,0,0
Greg Legg,26,PHI,R,11,20,1,0,0,0,0,0,0,0
Chet Lemon,31,DET,R,126,457,21,3,3,3,4,8,2,1
Jeffrey Leonard,30,SFG,R,89,368,11,3,1,1,3,3,16,3
Randy Lerch,31,PHI,L,4,3,1,0,0,0,0,0,0,0
Jim Lindeman,24,STL,R,19,58,1,0,0,0,1,0,1,1
Bryan Little,26,TOT,S,34,82,2,0,0,0,0,0,0,0
Tim Lollar,30,BOS,L,1,1,0,0,0,0,0,0,0,0
Phil Lombardi,23,NYY,R,20,41,3,0,0,0,0,1,0,0
Steve Lombardozzi,26,MIN,R,156,515,20,5,2,9,0,1,3,1
Davey Lopes,41,TOT,R,96,304,10,3,0,2,2,2,25,8
Aurelio Lopez,37,HOU,R,45,10,0,0,0,1,0,0,0,0
Dwight Lowry,28,DET,L,56,174,4,0,0,3,0,4,0,0
Ed Lynch,30,TOT,R,24,33,0,0,0,1,0,0,0,0
Fred Lynn,34,BAL,L,112,456,13,1,1,0,4,2,2,2
Barry Lyons,26,NYM,R,6,10,0,0,1,0,0,0,0,0
Steve Lyons,26,TOT,L,101,275,9,3,2,4,4,1,4,6
Mike Madden,29,HOU,L,13,14,0,0,0,4,0,0,0,0
Garry Maddox,36,PHI,R,6,9,0,0,0,0,0,0,0,1
Greg Maddux,20,CHC,R,6,13,0,0,0,1,0,0,0,0
Mike Maddux,24,PHI,L,16,27,0,0,0,4,0,0,0,0
Scotti Madison,26,DET,S,2,8,0,0,0,0,1,0,0,0
Bill Madlock,35,LAD,R,111,421,17,0,4,1,6,5,3,3
Dave Magadan,23,NYM,L,10,21,0,0,0,0,0,0,0,0
Rick Mahler,32,ATL,R,40,96,3,0,0,9,0,0,0,0
Candy Maldonado,25,SFG,R,133,432,31,3,4,0,4,3,4,4
Rick Manning,31,MIL,L,89,227,7,3,2,1,3,1,5,3
Fred Manrique,24,STL,R,13,18,0,0,0,0,0,0,1,0
Mike Marshall,26,LAD,R,103,362,11,0,3,0,1,4,4,4
Mike Martin,27,CHC,L,8,15,1,0,1,0,0,0,0,0
Buck Martinez,37,TOR,R,81,185,8,0,0,4,1,0,0,0
Carmelo Martinez,25,SDP,R,113,283,10,0,2,1,2,1,1,1
Dave Martinez,21,CHC,L,53,116,1,1,0,0,1,1,4,2
Dennis Martinez,32,TOT,R,19,31,2,0,0,0,0,0,0,0
Roger Mason,28,SFG,R,11,22,0,0,0,1,0,0,0,0
Greg Mathews,24,STL,R,23,52,0,0,0,7,0,2,0,0
Gary Matthews,35,CHC,R,123,432,16,1,1,0,2,0,3,2
Don Mattingly,25,NYY,L,162,742,53,2,11,1,10,1,0,0
Len Matuszek,31,LAD,L,91,222,7,0,1,0,1,1,2,2
Lee Mazzilli,31,TOT,S,100,192,5,1,2,0,1,2,4,4
Bob McClure,34,TOT,R,52,4,0,0,0,0,0,0,0,0
Lance McCullers,22,SDP,S,76,28,2,0,0,3,0,0,1,0
Oddibe McDowell,23,TEX,L,154,643,24,7,5,3,2,1,33,15
Roger McDowell,25,NYM,R,75,20,0,0,0,1,0,0,0,0
Andy McGaffigan,29,MON,R,50,38,0,0,0,4,0,0,0,0
Willie McGee,27,STL,S,124,539,22,7,7,0,4,1,19,16
Fred McGriff,22,TOR,L,3,5,0,0,0,0,0,0,0,0
Mark McGwire,22,OAK,R,18,58,1,0,0,0,0,1,0,1
Mark McLemore,21,CAL,S,5,6,0,0,0,1,0,0,0,1
Craig McMurtry,26,ATL,R,40,18,0,0,0,1,0,0,1,0
Hal McRae,40,KCR,R,112,299,14,0,4,0,2,1,0,0
Kevin McReynolds,26,SDP,R,158,641,31,6,6,5,9,1,8,6
Larry McWilliams,32,PIT,L,50,34,1,0,0,3,0,0,0,0
Bob Meacham,25,NYY,S,56,185,7,1,0,4,0,3,3,6
Louie Meadows,25,HOU,L,6,6,0,0,0,0,0,0,1,0
Francisco Melendez,22,PHI,L,9,8,0,0,0,0,0,0,0,0
Bob Melvin,24,SFG,R,89,289,14,2,1,3,3,0,3,2
Orlando Mercado,24,TEX,R,46,112,1,1,0,1,2,1,0,1
Darrell Miller,28,CAL,R,33,62,2,1,0,0,1,0,0,0
Eddie Milner,31,CIN,L,145,462,22,6,2,1,1,0,18,11
Greg Minton,34,SFG,S,48,7,1,0,0,0,0,0,0,0
John Mitchell,20,NYM,R,4,2,0,0,0,0,0,0,0,0
Kevin Mitchell,24,NYM,R,108,364,22,2,0,1,1,1,3,3
John Mizerock,25,HOU,L,44,107,1,1,2,0,1,1,0,0
Paul Molitor,29,MIL,R,105,482,24,6,0,2,3,0,20,5
Rafael Montalvo,22,HOU,R,1,0,0,0,0,0,0,0,0,0
Bill Moore,25,MON,R,6,12,0,0,0,0,0,0,0,0
Charlie Moore,33,MIL,R,80,264,12,3,1,4,3,0,5,5
Donnie Moore,32,CAL,L,1,0,0,0,0,0,0,0,0,0
Keith Moreland,32,CHC,R,156,652,30,0,10,2,11,0,3,6
Omar Moreno,33,ATL,L,118,386,18,6,2,6,0,0,17,16
Russ Morman,24,CHW,R,49,180,5,0,0,1,2,2,1,0
John Morris,25,STL,L,39,108,0,1,2,0,1,0,6,2
Jim Morrison,33,PIT,R,154,593,35,4,5,0,5,4,9,8
Lloyd Moseby,26,TOR,L,152,668,24,5,3,2,7,6,32,11
John Moses,28,SEA,S,103,442,16,3,3,5,4,0,25,18
Darryl Motley,26,TOT,R,77,240,10,1,2,1,0,0,0,2
Jamie Moyer,23,CHC,L,16,30,0,0,0,4,0,0,0,0
Terry Mulholland,23,SFG,R,15,20,0,0,0,1,0,0,0,0
Rance Mulliniks,30,TOR,L,117,395,22,0,1,1,2,1,1,1
Fran Mullins,29,CLE,R,28,44,4,0,0,1,1,0,0,0
Jerry Mumphrey,33,CHC,S,111,339,11,2,4,1,3,0,2,3
Dale Murphy,30,ATL,R,160,692,29,7,5,0,1,2,7,7
Dwayne Murphy,31,OAK,L,98,400,11,3,4,7,4,4,3,1
Rob Murphy,26,CIN,L,34,3,0,0,0,0,0,0,0,0
Eddie Murray,30,BAL,S,137,578,25,1,7,0,5,0,3,0
Randy Myers,23,NYM,L,10,0,0,0,0,0,0,0,0,0
Jerry Narron,30,CAL,L,57,107,3,1,0,1,1,1,0,0
Ricky Nelson,27,SEA,L,10,12,0,0,0,0,0,0,1,0
Rob Nelson,22,OAK,L,5,10,1,0,0,0,0,0,0,0
Graig Nettles,41,SDP,L,126,400,9,0,8,0,3,2,0,1
Al Newman,26,MON,S,95,212,3,0,2,4,2,0,11,11
Carl Nichols,23,BAL,R,5,6,0,0,1,0,0,0,0,0
Reid Nichols,27,CHW,R,74,150,4,0,0,1,2,0,5,4
Tom Niedenfuer,26,LAD,R,60,5,0,0,0,1,0,0,0,0
Randy Niemann,30,NYM,L,31,7,0,0,0,0,0,0,0,0
Tom Nieto,25,MON,R,30,72,3,1,1,0,0,1,0,1
Otis Nixon,27,CLE,S,105,110,4,1,0,2,0,0,23,6
Matt Nokes,22,DET,L,7,25,1,0,1,0,0,0,0,0
Pete O'Brien,28,TEX,L,156,641,23,3,11,0,3,0,4,4
Tom O'Malley,25,BAL,L,56,200,9,0,1,1,1,0,0,1
Paul O'Neill,23,CIN,L,3,3,0,0,0,0,0,0,0,0
Ken Oberkfell,30,ATL,L,151,596,24,3,6,4,4,2,7,4
Ron Oester,30,CIN,S,153,586,23,2,16,7,3,1,9,2
Ben Oglivie,37,MIL,L,103,384,20,1,6,1,7,0,1,2
Bob Ojeda,28,NYM,L,32,80,0,0,0,8,0,0,0,0
Ed Olwine,28,ATL,R,37,4,0,0,0,0,0,0,0,0
Steve Ontiveros,25,OAK,R,1,0,0,0,0,0,0,0,0,0
Jose Oquendo,22,STL,S,76,158,4,1,4,2,3,0,2,3
Jesse Orosco,29,NYM,R,58,6,0,0,0,0,1,0,0,0
Joe Orsulak,24,PIT,L,138,437,19,6,2,6,1,1,24,11
Jorge Orta,35,KCR,L,106,361,14,2,3,0,2,0,0,3
Junior Ortiz,26,PIT,R,49,122,6,0,0,1,2,0,0,1
Phil Ouellette,24,SFG,S,10,26,0,0,0,0,0,0,0,0
Bob Owchinko,31,MON,L,3,6,0,0,0,0,0,0,0,0
Spike Owen,25,TOT,S,154,593,24,7,1,9,3,2,4,4
Rick Ownbey,28,STL,R,17,10,0,0,0,3,0,0,0,0
Tom Paciorek,39,TEX,R,88,220,7,0,0,0,1,3,1,3
Mike Pagliarulo,26,NYY,L,149,565,24,3,10,1,2,4,4,1
Rafael Palmeiro,21,CHC,L,22,78,4,0,0,0,0,1,1,1
David Palmer,28,ATL,R,35,77,3,0,0,10,0,0,0,0
Jim Pankovits,30,HOU,R,70,124,6,1,1,0,0,0,1,1
Al Pardo,23,BAL,S,16,51,1,0,0,0,0,0,0,0
