Name,Location,HBCU,HSI,Admission_Rate,SAT,Undergraduates,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Full_Time_Faculty,Pell_Grant,Retention_Rate,Federal_Loan,Default_Rate,Proportion_Men,Endowment
St. Mary's College of Maryland,Suburban,0,0,0.7903,1190,1587,30610,15160,7922,0.7234,0.2219,0.825,0.7531,0.018,0.4008,37.13
Towson University,Urban,0,0,0.788,1122,21684,25697,7098,7864,0.5513,0.2904,0.8458,0.5084,0.027,0.405,87.85
Bridgewater State University,Suburban,0,0,0.8231,1049,11049,23845,9164,9852,1,0.4044,0.7632,0.8724,0.056,0.4031,54.61
Framingham State University,Urban,0,0,0.7853,1044,4784,25810,7207,9408,0.6478,0.4663,0.6913,0.7578,0.038,0.4255,45.56
University of Massachusetts-Lowell,Suburban,0,0,0.752,1232,16869,29174,12485,12226,0.6398,0.3295,0.8396,0.6671,0.035,0.5916,99.88
University of Massachusetts-Amherst,Suburban,0,0,0.6532,1307,27365,31749,18111,12707,0.809,0.2118,0.8913,0.5235,0.019,0.4945,362.6
Massachusetts Maritime Academy,Suburban,0,0,0.9248,1117,1786,28602,10074,8632,0.6522,0.1832,0.871,0.9109,0.008,0.8679,26.73
Massachusetts College of Liberal Arts,Small Town,0,0,0.8768,1066,1572,24458,13238,9026,0.6547,0.5088,0.7158,0.9684,0.034,0.3745,13.54
University of Massachusetts-Dartmouth,Suburban,0,0,0.7618,1094,7452,28948,14257,10774,0.7394,0.5038,0.7103,0.7791,0.058,0.4881,58.24
Westfield State University,Suburban,0,0,0.9244,1054,5911,24844,9728,10001,0.4989,0.3349,0.7292,0.7295,0.038,0.4472,7.3
Worcester State University,Urban,0,0,0.8103,1097,6325,21870,8553,9193,0.5059,0.3599,0.7982,0.6344,0.044,0.3879,17.96
Central Michigan University,Small Town,0,0,0.6867,1113,16237,25078,9254,9955,0.7637,0.3502,0.8004,0.7673,0.048,0.3976,189.32
Eastern Michigan University,Suburban,0,0,0.7518,1098,17262,24994,7622,9791,0.9885,0.4588,0.7183,0.5789,0.071,0.3944,78.39
Ferris State University,Small Town,0,0,0.8246,1058,13351,23106,9934,9582,0.6932,0.4602,0.7887,0.6563,0.053,0.4763,88.05
Lake Superior State University,Small Town,0,0,0.695,1050,2194,23239,8855,6762,0.9515,0.4127,0.7321,0.5968,0.059,0.4609,29.04
University of Michigan-Ann Arbor,Urban,0,0,0.2611,1445,32146,30926,25086,11865,0.8292,0.1981,0.9626,0.2799,0.013,0.4959,12273.83
Michigan State University,Urban,0,0,0.7631,1216,42294,28626,17219,11714,0.8812,0.2193,0.9104,0.3916,0.026,0.4868,3455.32
Michigan Technological University,Small Town,0,0,0.7036,1269,6296,29765,11756,10694,0.9104,0.2109,0.8584,0.525,0.019,0.7144,113.64
University of Michigan-Dearborn,Urban,0,0,0.6751,1211,7803,21509,10946,10606,0.6969,0.363,0.8231,0.3425,0.037,0.5445,57.73
University of Michigan-Flint,Urban,0,0,0.7742,1086,6689,21376,10397,9389,0.5553,0.4479,0.724,0.5243,0.057,0.3608,117.26
Oakland University,Suburban,0,0,0.811,1110,18047,23778,8620,9609,0.5324,0.3327,0.786,0.4683,0.036,0.4272,106.53
Saginaw Valley State University,Suburban,0,0,0.8946,1086,8261,22353,7700,8429,0.5028,0.3848,0.7737,0.607,0.048,0.3672,87.44
Wayne State University,Urban,0,0,0.6901,1112,20110,24541,12491,11123,0.6019,0.4699,0.8166,0.4654,0.051,0.4117,404.02
Western Michigan University,Urban,0,0,0.8494,1129,18069,26567,12438,9914,0.691,0.2624,0.7846,0.5555,0.056,0.5064,407.42
University of Minnesota-Twin Cities,Urban,0,0,0.6964,1320,46135,27654,16272,12182,0.8243,0.1796,0.9332,0.3989,0.017,0.468,3714.68
University of Minnesota-Duluth,Urban,0,0,0.7855,1169,10456,25326,7827,8622,0.8569,0.2119,0.795,0.618,0.026,0.5165,189.55
University of Minnesota-Morris,Small Town,0,0,0.6465,1199,1637,24636,12215,7536,0.9109,0.3931,0.783,0.5031,0.034,0.4103,16.78
Minnesota State University Moorhead,Suburban,0,0,0.6605,1106,5765,22525,8407,9373,0.6545,0.3184,0.7047,0.6727,0.03,0.3865,29.18
Saint Cloud State University,Urban,0,0,0.7322,1087,13024,19635,9135,9961,0.6475,0.3525,0.67,0.5592,0.046,0.4881,31.31
Southwest Minnesota State University,Small Town,0,0,0.806,1048,7984,20481,6339,9563,0.5115,0.4089,0.7423,0.6426,0.059,0.3856,13.7
Winona State University,Small Town,0,0,0.7518,1118,7785,22003,8524,9392,0.6259,0.2678,0.749,0.6589,0.027,0.337,42.98
Alcorn State University,Rural,1,0,0.3772,1035,3427,24285,5581,6504,0.6855,0.9219,0.7383,0.9336,0.155,0.3399,20.19
Delta State University,Small Town,0,0,0.9961,1063,3857,20678,7885,6576,0.6518,0.4536,0.6714,0.6393,0.08,0.4144,36.81
Jackson State University,Urban,1,0,0.8998,993,5814,24570,8056,7456,0.6218,0.7675,0.737,0.7891,0.13,0.3449,46.67
University of Mississippi,Small Town,0,0,0.8802,1220,19151,25562,16492,9377,0.852,0.2215,0.8573,0.3781,0.06,0.4193,736.29
Mississippi University for Women,Small Town,0,0,0.9903,1106,3194,20684,6809,6227,0.6652,0.6471,0.7882,0.6588,0.051,0.1781,55.2
Mississippi State University,Small Town,0,0,0.8004,1244,20288,25778,7424,8893,0.8547,0.3011,0.8508,0.4563,0.064,0.5029,528.68
Missouri Southern State University,Urban,0,0,0.9833,1087,6457,15867,7199,6057,0.6633,0.5609,0.6699,0.514,0.076,0.3851,38.4
University of Missouri-Columbia,Urban,0,0,0.8178,1247,24146,26902,13410,10231,0.7308,0.2408,0.8939,0.3988,0.025,0.4644,1052.76
University of Missouri-Kansas City,Urban,0,0,0.6301,1184,12938,22897,12168,9327,0.686,0.387,0.7477,0.4194,0.037,0.4181,152.8
Missouri University of Science and Technology,Small Town,0,0,0.8146,1328,6629,23123,14754,10998,0.8513,0.2088,0.849,0.4623,0.037,0.7688,201.22
University of Missouri-St Louis,Suburban,0,0,0.5759,1188,15549,24481,9520,9179,0.5871,0.445,0.8207,0.43120000000000003,0.046,0.436,89.9
Truman State University,Small Town,0,0,0.721,1278,5210,21640,10115,7293,0.8997,0.2201,0.8834,0.3888,0.026,0.4096,50.55
Northwest Missouri State University,Small Town,0,0,0.8011,1104,6399,20235,7318,7379,0.7702,0.3683,0.757,0.6038,0.056,0.4172,37.69
Montana Technological University,Small Town,0,0,0.9727,1192,1645,21124,8939,7984,0.75,0.2491,0.8015,0.4945,0.076,0.6305,38.87
Montana State University,Small Town,0,0,0.8077,1205,16214,22073,8354,7872,0.6046,0.2011,0.7816,0.3749,0.035,0.5309,156.91
The University of Montana,Urban,0,0,0.9578,1162,9259,19958,10340,8282,0.6623,0.3252,0.7432,0.5254,0.067,0.4271,208.37
The University of Montana-Western,Small Town,0,0,0.5186,1001,1882,17790,7462,7091,0.6604,0.4163,0.7305,0.5525,0.074,0.3528,5.78
University of Nebraska at Kearney,Small Town,0,0,0.8841,1130,4811,23319,9996,7790,0.6961,0.378,0.8112,0.4609,0.031,0.3914,59.62
University of Nebraska-Lincoln,Urban,0,0,0.7774,1220,26359,24400,11055,10946,0.853,0.2407,0.8502,0.4225,0.022,0.5174,1309.49
University of Nevada-Las Vegas,Urban,0,1,0.8102,1124,28841,18756,12706,10937,0.9836,0.4414,0.798,0.2585,0.049,0.4263,292.98
University of Nevada-Reno,Urban,0,0,0.873,1154,19231,23256,12652,10303,0.9821,0.2861,0.8045,0.3503,0.043,0.4654,377.46
University of New Hampshire-Main Campus,Suburban,0,0,0.8481,1197,13027,33940,11621,11294,0.759,0.2271,0.8639,0.6579,0.017,0.4439,401.95
University of New Hampshire at Manchester,Urban,0,0,0.8528,1103,1206,25244,11155,9778,0.4,0.5238,0.791,0.4762,0.017,0.487,1.91
Rowan University,Suburban,0,0,0.7801,1150,18638,34987,12306,9054,0.523,0.3209,0.8411,0.6077,0.046,0.5297,232.09
Kean University,Suburban,0,1,0.7805,1010,14180,25863,9690,8684,0.2571,0.571,0.7409,0.5896,0.057,0.3873,27.09
New Jersey Institute of Technology,Urban,0,0,0.6603,1299,10275,31511,13922,12497,0.5718,0.3488,0.8903,0.3815,0.04,0.7614,129.46
Rutgers University-Camden,Urban,0,0,0.7628,1075,6428,29130,14476,12115,0.482,0.5335,0.8539,0.6032,0.026,0.37,46.95
Rutgers University-New Brunswick,Urban,0,0,0.6693,1301,40730,32022,16407,12327,0.6018,0.2442,0.9323,0.4418,0.026,0.499,1130.23
Rutgers University-Newark,Urban,0,1,0.7409,1088,10793,27960,15332,14184,0.6748,0.6173,0.867,0.407,0.026,0.4374,153.54
Stockton University,Suburban,0,0,0.7731,1108,10727,30721,7402,9963,0.4842,0.4163,0.8463,0.7094,0.042,0.3985,30.83
The College of New Jersey,Suburban,0,0,0.5125,1240,7596,35502,10556,10903,0.458,0.1841,0.9382,0.5169,0.013,0.428,46.21
Eastern New Mexico University-Main Campus,Small Town,0,1,0.506,1051,5453,17897,5992,7109,0.7291,0.5364,0.6109,0.3309,0.079,0.388,13.75
New Mexico Institute of Mining and Technology,Small Town,0,1,0.9658,1263,1479,22878,10615,8842,0.7753,0.316,0.808,0.548,0.06,0.7059,58.7
University of New Mexico-Main Campus,Urban,0,1,0.9634,1101,18683,19351,14196,9462,0.8999,0.3924,0.7697,0.5943,0.088,0.418,471.93
New Mexico State University-Main Campus,Suburban,0,1,0.6267,1050,12979,19760,10868,8977,0.7667,0.4919,0.7549,0.396,0.103,0.4276,42.4
CUNY Bernard M Baruch College,Urban,0,1,0.4071,1268,18794,13569,10719,12178,0.4236,0.6086,0.8762,0.038,0.022,0.5262,201.32
CUNY Brooklyn College,Urban,0,0,0.4974,1105,17946,13802,10818,11923,0.3798,0.6573,0.8219,0.0462,0.045,0.4245,98.05
CUNY City College,Urban,0,1,0.5054,1164,15220,13667,20092,12493,0.4192,0.6967,0.8009,0.0438,0.036,0.4672,320.35
CUNY Hunter College,Urban,0,1,0.4048,1259,20665,13219,11917,12214,0.3335,0.6144,0.8381,0.0471,0.031,0.3567,135.82
CUNY John Jay College of Criminal Justice,Urban,0,1,0.3743,1093,16900,13549,12302,11422,0.3661,0.6782,0.8309,0.0564,0.042,0.403,10.92
CUNY Lehman College,Urban,0,1,0.4701,1020,17112,13704,11972,11218,0.3804,0.7235,0.806,0.045,0.055,0.3166,8.8
CUNY Queens College,Urban,0,1,0.5349,1122,20521,13768,10760,11635,0.4093,0.5784,0.8326,0.0726,0.041,0.4583,72.42
CUNY York College,Urban,0,1,0.5276,960,10201,13948,11592,11131,0.3262,0.7155,0.6291,0.0427,0.049,0.3186,2
SUNY College of Technology at Canton,Small Town,0,0,0.8301,1029,4756,23026,10082,6822,0.6474,0.6142,0.7026,0.766,0.064,0.4303,14.21
SUNY College of Agriculture and Technology at Cobleskill,Small Town,0,0,0.8,1010,2544,25633,11623,6721,0.6623,0.5567,0.7602,0.6929,0.111,0.4346,8.49
Farmingdale State College,Suburban,0,0,0.6016,1075,12774,16856,10189,8418,0.3246,0.3863,0.8284,0.2729,0.034,0.5866,2.85
SUNY at Albany,Urban,0,0,0.5715,1177,15185,26563,13970,9904,0.5982,0.4184,0.8304,0.6199,0.044,0.4778,75.13
Binghamton University,Suburban,0,0,0.4303,1376,15293,28010,12038,10035,0.7263,0.2451,0.9202,0.4801,0.019,0.4928,117.32
University at Buffalo,Suburban,0,0,0.6695,1230,24445,26958,15660,10664,0.6545,0.3378,0.8694,0.4998,0.028,0.5497,797.89
Stony Brook University,Suburban,0,0,0.4891,1337,24056,26270,18899,12468,0.63,0.3692,0.9018,0.3832,0.02,0.4968,265.81
SUNY College of Environmental Science and Forestry,Urban,0,0,0.6017,1237,1920,29680,19457,8799,0.8024,0.2776,0.8636,0.4958,0.006,0.5292,38.9
SUNY Polytechnic Institute,Suburban,0,0,0.733,1177,2433,23194,13137,9553,0.5488,0.4183,0.8243,0.6213,0.027,0.6776,6.12
SUNY Brockport,Small Town,0,0,0.5811,1089,7495,24340,11605,7639,0.604,0.4327,0.7558,0.7252,0.038,0.4177,13.85
SUNY Buffalo State,Urban,0,0,0.8007,960,8622,23111,12099,7954,0.4972,0.6772,0.6452,0.622,0.101,0.4228,53.51
SUNY Cortland,Small Town,0,0,0.522,1164,6923,25585,10068,6876,0.5895,0.2684,0.8476,0.6694,0.035,0.4349,42.17
SUNY at Fredonia,Small Town,0,0,0.7225,1112,4487,23327,12340,7186,0.5881,0.4835,0.7688,0.7417,0.045,0.4155,35.18
SUNY College at Geneseo,Small Town,0,0,0.6136,1234,5569,26266,11171,7723,0.6723,0.2708,0.8499,0.6264,0.013,0.3641,31.36
State University of New York at New Paltz,Suburban,0,0,0.6202,1187,7684,25615,11536,7441,0.5351,0.3728,0.8701,0.5703,0.027,0.3798,28.12
SUNY Oneonta,Small Town,0,0,0.6295,1034,7334,25628,9798,6915,0.6255,0.3584,0.8318,0.6444,0.026,0.3768,61.23
SUNY College at Oswego,Small Town,0,0,0.689,1112,7926,24970,10995,7258,0.6703,0.4382,0.8134,0.6502,0.044,0.4783,40.53
SUNY at Purchase College,Suburban,0,1,0.737,1213,4568,27991,13643,7503,0.41,0.3587,0.7858,0.5323,0.072,0.4005,77.95
SUNY College at Old Westbury,Suburban,0,1,0.5308,1015,5948,19786,10300,9061,0.4505,0.605,0.7467,0.3273,0.039,0.4019,0.21
SUNY College at Plattsburgh,Small Town,0,0,0.6103,1078,5529,25786,11657,7162,0.6348,0.4558,0.7927,0.6587,0.028,0.4034,21.69
SUNY Maritime College,Urban,0,0,0.7271,1153,1674,26864,10562,7473,0.7333,0.2122,0.7849,0.4709,0.022,0.8594,7.97
Appalachian State University,Small Town,0,0,0.7951,1181,18679,19661,7590,8290,0.7806,0.2809,0.8647,0.4631,0.036,0.4277,120.02
East Carolina University,Urban,0,0,0.8792,1100,25249,22301,11977,8561,0.8068,0.3376,0.8346,0.5746,0.051,0.4275,212.57
Elizabeth City State University,Small Town,1,0,0.7483,929,1922,12754,9116,7714,0.7432,0.727,0.7559,0.6955,0.129,0.417,12.26
Fayetteville State University,Urban,1,0,0.7938,948,7062,16623,7540,8478,0.7253,0.7474,0.6596,0.6399,0.116,0.2837,24.31
North Carolina A & T State University,Urban,1,0,0.5671,1041,12108,18348,7631,8745,0.64,0.61,0.7963,0.7885,0.091,0.4021,80.15
University of North Carolina at Asheville,Urban,0,0,0.7942,1185,4139,20127,9484,8255,0.7395,0.3761,0.7599,0.5153,0.058,0.437,53.52
University of North Carolina at Chapel Hill,Urban,0,0,0.25,1393,20215,24220,27996,12795,0.7745,0.2093,0.9513,0.2076,0.014,0.4009,3513.94
University of North Carolina at Charlotte,Urban,0,0,0.7953,1200,27636,23478,9256,9886,0.7144,0.3086,0.8472,0.5099,0.044,0.5328,230.35
University of North Carolina at Greensboro,Urban,0,0,0.8754,1093,18332,19179,9534,8600,0.7593,0.5457,0.8084,0.6209,0.053,0.3293,309.56
North Carolina Central University,Urban,1,0,0.8742,937,6869,24075,10924,8423,0.6414,0.7439,0.7781,0.8035,0.082,0.2986,39.53
University of North Carolina School of the Arts,Urban,0,0,0.3634,1224,944,21755,22167,7626,0.7813,0.2692,0.9145,0.5769,0.034,0.4007,77.49
North Carolina State University at Raleigh,Urban,0,0,0.4622,1343,28869,24202,15681,11096,0.8748,0.1822,0.9357,0.4047,0.02,0.5168,1400.66
University of North Carolina Wilmington,Urban,0,0,0.6797,1226,17001,24837,8470,8608,0.723,0.2322,0.8408,0.4725,0.031,0.3604,104.95
University of North Carolina at Pembroke,Small Town,0,0,0.9138,1012,7447,15952,6403,7462,0.7364,0.6083,0.7072,0.6727,0.102,0.3756,24.89
Winston-Salem State University,Urban,1,0,0.7252,971,5286,20382,9121,8323,0.6451,0.757,0.7664,0.8557,0.112,0.2463,35.34
Western Carolina University,Small Town,0,0,0.4848,1129,11696,18462,7402,7859,0.7211,0.3709,0.8142,0.5988,0.052,0.4494,86.51
Dickinson State University,Small Town,0,0,0.9862,1031,1583,17708,9877,6935,0.4962,0.3212,0.6321,0.5078,0.066,0.4031,6.39
Mayville State University,Rural,0,0,0.5303,1065,1667,18727,8618,6116,1,0.219,0.6286,0.6571,0.084,0.358,8.05
Minot State University,Small Town,0,0,0.7733,1070,3332,16896,7717,7449,0.5878,0.2718,0.7128,0.5179,0.063,0.3728,31.5
University of North Dakota,Urban,0,0,0.8675,1163,12954,23119,16447,8968,0.904,0.1868,0.8139,0.6004,0.028,0.5625,264.48
North Dakota State University-Main Campus,Urban,0,0,0.941,1150,11626,22201,10213,9348,0.9709,0.1892,0.8199,0.6239,0.026,0.5176,0.51
Valley City State University,Small Town,0,0,0.806,1030,1850,18712,11985,6177,0.542,0.3035,0.72,0.6915,0.073,0.4701,9.32
University of Akron Main Campus,Urban,0,0,0.7304,1118,16404,24604,10436,10276,0.4515,0.3544,0.7509,0.5466,0.074,0.5328,224.04
Bowling Green State University-Main Campus,Small Town,0,0,0.753,1142,17380,24529,9073,9648,0.7546,0.2867,0.7936,0.599,0.068,0.4393,166.41
University of Cincinnati-Main Campus,Urban,0,0,0.764,1245,32766,26892,11284,10309,0.5956,0.1742,0.882,0.4964,0.047,0.5006,1449.73
Cleveland State University,Urban,0,0,0.936,1088,13499,24010,9969,9570,0.4864,0.4691,0.7643,0.59,0.057,0.4429,92.39
Kent State University at Kent,Suburban,0,0,0.8443,1141,25459,25836,9122,9450,0.5861,0.3068,0.817,0.6335,0.058,0.3818,148.4
Miami University-Oxford,Small Town,0,0,0.9195,1280,18113,33805,11180,10541,1,0.1247,0.8821,0.4096,0.04,0.4921,558.62
Ohio State University-Main Campus,Urban,0,0,0.6849,1337,49971,27202,18429,12723,0.6588,0.1889,0.9381,0.3496,0.036,0.5058,5233.31
Ohio University-Main Campus,Small Town,0,0,0.8749,1166,23910,29534,11176,8779,0.8194,0.2498,0.8133,0.6224,0.051,0.3924,580.66
University of Toledo,Urban,0,0,0.9468,1135,17328,25118,12891,9315,0.767,0.3422,0.7843,0.5506,0.07,0.5031,309.84
Wright State University-Main Campus,Suburban,0,0,0.9564,1099,10865,23009,11068,9408,0.6587,0.4119,0.6482,0.5941,0.055,0.4535,124.94
Youngstown State University,Urban,0,0,0.6993,1083,12192,18929,7498,8596,1,0.4376,0.7626,0.5269,0.075,0.4585,274.91
East Central University,Small Town,0,0,0.9645,1079,3497,16681,8379,5870,0.9931,0.5354,0.5958,0.3396,0.067,0.4167,33.62
Northeastern State University,Small Town,0,0,0.9949,1069,7479,17889,9217,7159,0.7146,0.5635,0.6611,0.4979,0.037,0.3634,20.08
Northwestern Oklahoma State University,Small Town,0,0,0.7026,1021,1971,17928,7228,6587,0.6164,0.5263,0.617,0.5117,0.062,0.4032,26.05
Oklahoma State University-Main Campus,Small Town,0,0,0.6709,1186,21688,23906,10837,9380,0.8874,0.2666,0.8482,0.4468,0.027,0.4936,441.95
University of Oklahoma-Norman Campus,Suburban,0,0,0.8338,1233,23736,29577,12039,10394,0.8393,0.23,0.8714,0.3838,0.033,0.4909,65.73
University of Science and Arts of Oklahoma,Small Town,0,0,0.3575,917,893,18540,8938,6024,0.5412,0.4889,0.6389,0.4722,0.092,0.3538,26.02
